city/state,latitude,longitude
['Seattle'],47.6038321,-122.3300624
['Whitney'],40.73964505,-74.00892095028976
['Ariel'],32.1060817,35.1851368
['Pensacola'],30.421309,-87.2169149
['Cedar'],41.7608608,-91.1263198
['Amsterdam'],52.3727598,4.8936041
['Salt'],41.9741672,2.7949886
['Austin'],30.2711286,-97.7436995
['ReAding'],51.456659,-0.9696512
['Boston'],42.3602534,-71.0582912
"['Van', 'Charlotte']",35.23227584999999,-80.94358600000001
['Hudson'],42.7654433,-71.4397167
['Eden'],36.4884715,-79.7667026
['Medford'],42.4184296,-71.1061639
['Flagstaff'],35.1816047,-111.6165953319917
['Burke'],48.7882181,-102.5295867
['Nancy'],48.6937223,6.1834097
['Tanda'],28.98100145,78.97480687399917
['Upland'],34.09751,-117.6483876
['Daru'],24.01243125,85.54335774125633
['Anna'],39.0204311,-0.6461361
['Sari'],49.1913033,-122.8491439
['Norman'],35.2225717,-97.4394816
['San Diego'],32.7174202,-117.1627728
['Nola'],40.9210826,14.5327402
['Dallas'],32.7762719,-96.7968559
['Florence'],43.7698712,11.2555757
['Paris'],48.8566969,2.3514616
['Hollywood'],34.0980031,-118.329523
['Huesca'],42.13606145,-0.029802662719165485
['Oakley'],37.9974219,-121.7124536
['Antony'],48.753554,2.2959423
['Sydney'],-33.8548157,151.2164539
['Pampa'],-37.2314643,-65.3972948
['Pisa'],43.7159395,10.4018624
['Bentley'],52.4685411,-114.04327724999999
"['Valencia', 'Ibiza']",38.5400125,-0.1204225
['New Orleans'],29.9499323,-90.0701156
['Cooper'],38.8452595,-92.8249579
['Crema'],45.362828,9.6874573
['Iowa'],41.9216734,-93.3122705
['Milwaukee'],43.0349931,-87.922497
['Man'],54.1936805,-4.5591148
['March'],48.0578573,7.7790038
['David'],8.4949423,-82.48261591569641
['Taylor'],32.2793121,-99.8812612
['Ron'],45.8802348,4.564533629559522
['Venice'],45.4371908,12.3345898
['Asia'],51.2086975,89.2343748
['Strasbourg'],48.584614,7.7507127
['Kanye'],-24.9766112,25.3358859
['Budapest'],47.48138955,19.14607278448202
['Rugby'],52.3726682,-1.2620038
['Carney'],39.3942737,-76.523576
['Holiday'],28.187755,-82.74160807073932
['Miami'],25.7741728,-80.19362
['Goes'],43.1980062,-0.5928057
['Como'],45.939475900000005,9.149410145408947
['Bury'],49.3132772,2.3439338
['Tracy'],37.7396513,-121.4252227
['Retreat'],39.9165031,-74.7126592
['Delano'],35.7688425,-119.2470536
['Blaine'],41.9195837,-99.979237
['Saco'],42.9880406,0.5631324
['Linda'],44.8371855,0.7387986
['Bell'],31.0081659,-97.4314413
['Carol'],42.4883264,1.8560241
['Hamilton'],43.2560802,-79.8728583
['Much'],50.9044492,7.4017528
['Bali'],48.8566969,2.3514616
['Hillside'],41.8778084,-87.9028398
['Scottsdale'],33.4942189,-111.9260184
['Tire'],38.0878154,27.721173034972082
['Detroit'],42.3315509,-83.0466403
['Cabo'],-8.2838945,-35.0320984
['Long Island'],40.85149705,-73.0994258107431
['Spokane'],47.6571934,-117.4235106
['Colorado'],38.7251776,-105.6077167
['Male'],16.3700359,-2.2900239
['Split'],43.5116383,16.4399659
['Liverpool'],53.407154,-2.991665
['Rubio'],37.3557545,-4.9877315
['Brussels'],50.8436709,4.3674366933879565
['Brent'],32.9373463,-87.1647184
['Bowie'],33.4198886,-94.4479626
['Charleston'],32.7876012,-79.9402728
['Chicago'],41.8755616,-87.6244212
['Scranton'],41.4086874,-75.6621294
['Oregon'],43.9792797,-120.737257
['Palm Springs'],33.772179449999996,-116.49529769785079
['Alice'],27.7522487,-98.0697249
['Denver'],39.7392364,-104.9848623
['George'],-33.964444,22.459722
['Tacoma'],47.2495798,-122.4398746
['Van'],13.2904027,108.4265113
['Texas'],31.8160381,-99.5120986
