city/state,note,payment_id,date_created,date_completed,target_username,target_user_id,actor_username,actor_id
['Florida'],Florida,2586627923746226230,2018-10-09T20:47:57,2018-10-09T20:47:57,Julia-Snyder-10,2.1812885806120963e+18,Kassy-Ott,2013136768991232570
['Florida'],Florida,2586742005149204683,2018-10-10T00:34:36,2018-10-10T00:34:36,ChezneyPeel,1.5975265159086085e+18,Chad-Parker-33,2015305056387072548
['Florida'],Florida,2587324438164800161,2018-10-10T19:51:48,2018-10-10T19:51:48,Halle-Taylor-1,2.5872861432381445e+18,taylorch,1993653564211200330
['Florida'],Florida,2587481124276011445,2018-10-11T01:03:06,2018-10-11T01:03:06,Anne-Knuth,2.5170030048051205e+18,michael-knuth,1444474408402944387
['Florida'],Florida,2587493302999712145,2018-10-11T01:27:18,2018-10-11T01:27:18,Riley-Burgener,2.5278518237593605e+18,David-Thomasson-5,2559201092042752508
['Florida'],Florida,2587960460888244737,2018-10-11T16:55:27,2018-10-11T16:55:28,Barbara-Spitzer-1,1.861544589656065e+18,Tammy-Underwood-2,1981245428858880912
['Florida'],Florida,2588035460991287843,2018-10-11T19:24:28,2018-10-11T19:24:28,Taylor-Campos-2,1.952278877569025e+18,Chris-LoPresti,1579428832346112881
['Florida'],Florida,2588659268500587302,2018-10-12T16:03:52,2018-10-12T16:03:52,kevin-gordon-3,1.4646177211351043e+18,sean-friel,1371757130809344202
['Florida'],Florida,2588768501967618739,2018-10-12T19:40:53,2018-10-12T19:40:53,Lindsey-Hurst-3,2.1969281168179208e+18,Michael-Monement-13,2585210046644224023
['Florida'],Florida,2589098086156468645,2018-10-13T06:35:43,2018-10-13T06:35:43,Jake-Robb-3,2.2968371511296003e+18,Andrew-McCormack-3,1778517335343104050
['Florida'],Florida,2589252139217846488,2018-10-13T11:41:47,2018-10-13T11:41:48,Adrian-Semeniuk,2.340379798011905e+18,Kyle-Jelly,2406338793570304204
['Florida'],Florida,2589455639113629828,2018-10-13T18:26:07,2018-10-13T18:26:07,mallory-gibson,1.3344276322713603e+18,richardstock,2314678562717696030
['Florida'],Florida,2589737616232415463,2018-10-14T03:46:21,2018-10-14T03:46:21,Alessandro-Cardona,2.2778988032163843e+18,HunterN2,2431778195243009008
['Florida'],Florida,2590009687537615218,2018-10-14T12:46:54,2018-10-14T12:46:54,ThomasLowrey,1.6525481843097608e+18,Nicholas-Williamson,1782884914429952537
['Florida'],Florida,2590042567651361112,2018-10-14T13:52:14,2018-10-14T13:52:14,Mitch-Messmer,1.7795357375201288e+18,Lori-Messmer,2045951988465664872
['Florida'],Florida,2590782780451324689,2018-10-15T14:22:54,2018-10-15T14:22:54,Andy-Graver,2.37585939038208e+18,Michael-Meaney-6,2241825851047936982
['Florida'],Florida,2591230417310843290,2018-10-16T05:12:17,2018-10-16T05:12:17,Rachelle-Bevington,2.358800812081152e+18,Timothy-Owen-8,2457394034507776027
['Florida'],Florida,2591258002669437484,2018-10-16T06:07:05,2018-10-16T06:07:05,NicoleMicklus,1.815325381230592e+18,Samuel-Clay-13,2277321524379648644
['Florida'],Florida,2591604221073687301,2018-10-16T17:34:57,2018-10-16T17:34:58,Casey-Comart,2.2239377652449283e+18,Jack-Comart,2591594330980352726
