city/state,note,payment_id,date_created,date_completed,target_username,target_user_id,actor_username,actor_id
['Chelsea'],Chelsea piers,2552403951433548793,2018-08-23T15:31:01,2018-08-23T15:31:01,mdunne610,1.9769120249610245e+18,JackieBallz,1811228527689728210
['Chelsea'],Chelsea piers,2554472308110525176,2018-08-26T12:00:29,2018-08-26T12:00:29,Steve-Carino,2.2609852471705603e+18,Kim-Moskowitz,2255921279401984339
['Bear'],Bear proof canister and dehydrated food.,2552400922164592692,2018-08-23T15:25:00,2018-08-23T15:25:00,eveyy,1.682909358456833e+18,Peter-Shaw-65479,2458843468529664806
['Date'],Date help,2552404451621077818,2018-08-23T15:32:01,2018-08-23T15:32:01,Lindsey_Ellison,2.1538310476267528e+18,Soraya-Signorina,2295228996255744146
['Best'],Best company in the world,2552404692357349376,2018-08-23T15:32:30,2018-08-23T15:32:30,Kelsey-Everett,1.9139037977640968e+18,cole-spencer,1307329534361600903
['Tequila'],Tequila💃🏼,2552405982944690913,2018-08-23T15:35:03,2018-08-23T15:35:03,colleenelizcrooks,2.0183242925670408e+18,Abbie-Mullins,1894442101374976611
['Tequila'],Tequila💃🏼,2586014230423536526,2018-10-09T00:28:39,2018-10-09T00:28:39,Anissa-Robinson-2,2.36759543709696e+18,Ashley-McDonnell33,2021433907609600318
['Kyle'],Marc e bassy and Kyle!,2552406220711396286,2018-08-23T15:35:32,2018-08-23T15:35:32,jack-shea,1.475491588472832e+18,Gloria-Bibbo,1982795685560320869
['Best'],Best friend fees 🧚🏽‍♀️💎🎀,2552401425640456873,2018-08-23T15:26:00,2018-08-23T15:26:00,Victoria-Guerrero-2,1.9343332291379205e+18,Aileen-Mota,2291579817558016082
['Weston'],Weston league,2552404950021833628,2018-08-23T15:33:00,2018-08-23T15:33:00,Ben-Stewart,1.5891566648360963e+18,michael-cavallaro,1324751742042112467
['Wedding'],Wedding,2552406239157944799,2018-08-23T15:35:34,2018-08-23T15:35:34,Savain-Phann,2.0889205190164488e+18,Joshua-Koch-6,1961781081669632492
['Wedding'],Wedding,2552421690537673012,2018-08-23T16:06:16,2018-08-23T16:06:16,Paolo-Grandjacquet,1.7587467536302083e+18,Liz-Grandjacquet,1583402474012672239
['Wedding'],Wedding,2552522032625484265,2018-08-23T19:25:38,2018-08-23T19:25:38,Taylor-Johnson-170,2.0200050843975688e+18,Lane-Reazin,2243651220537344155
['Wedding'],Wedding,2552537253704369034,2018-08-23T19:55:52,2018-08-23T19:55:52,Molly-Rindock,2.545912136073217e+18,Chelsea-Cooper-40,2482432259391488856
['Wedding'],Wedding,2552542579170214148,2018-08-23T20:06:27,2018-08-23T20:06:27,WhitneyAGolden,2.1952999215595528e+18,Holly-Alder,2241124722802688037
['Wedding'],Wedding,2552765646341407243,2018-08-24T03:29:39,2018-08-24T03:29:39,Joseph-Bona,1.5646018502656003e+18,KimberlyKoehler,2005079880105984952
['Wedding'],Wedding,2552908237275923379,2018-08-24T08:12:57,2018-08-24T08:12:57,Yana-Melchor,1.9982291639992323e+18,luis-luque,1304671436144640054
['Wedding'],Wedding,2552997600714293565,2018-08-24T11:10:30,2018-08-24T11:10:30,Emma-Dickerhoff,2.0147440850042888e+18,elegett,2390723299115008286
['Wedding'],Wedding,2553038390404580201,2018-08-24T12:31:32,2018-08-24T12:31:32,Victoria-Badalamente,2.3198283459461125e+18,Dylan-Muschitiello,2524971972689920618
['Wedding'],Wedding,2553105015933764032,2018-08-24T14:43:55,2018-08-24T14:43:55,Aaron-Stefanov,1.6920412222914568e+18,kellimagnani,1680401525374976144
['Wedding'],Wedding,2553107525352292776,2018-08-24T14:48:54,2018-08-24T14:48:54,Heather-Macklin,2.0348000387727368e+18,BRENDAS-STEVENSON,2482134379921408016
['Wedding'],Wedding,2553162804240580638,2018-08-24T16:38:44,2018-08-24T16:38:44,miranda-booth,1.329758927323136e+18,Suhas-Subramanyam,1483551497256960248
['Wedding'],Wedding,2553201607533659021,2018-08-24T17:55:49,2018-08-24T17:55:49,Julie-Baloga,2.2881530795786248e+18,Maggie-King-12,1928303900360704990
['Wedding'],Wedding,2553225465632391472,2018-08-24T18:43:13,2018-08-24T18:43:13,tpreston,2.2632461028556803e+18,Todd-Hines-2,2381642991665152211
['Wedding'],Wedding,2553242715907162461,2018-08-24T19:17:30,2018-08-24T19:17:30,ritterteddy,2.166121197207553e+18,Aaron-Antigua,1974767217278976712
['Wedding'],Wedding,2553247028079493552,2018-08-24T19:26:04,2018-08-24T19:26:04,Rosewood-Events,2.4998766968832e+18,MajinMatt,2343470932951040277
['Wedding'],Wedding,2553359444679328226,2018-08-24T23:09:25,2018-08-24T23:09:25,IvyKuoting-Wang,1.9293760399605768e+18,Mieko-Ito,2203361977827328681
['Wedding'],Wedding,2553422103118348431,2018-08-25T01:13:54,2018-08-25T01:13:54,sarah-payne-9,1.471071832244225e+18,alan-miller-1,1429014807838720873
['Wedding'],Wedding,2553585549701022170,2018-08-25T06:38:39,2018-08-25T06:38:39,phil-saunders,1.5349881682001928e+18,Megan-Cudnik,2180692007976960403
['Wedding'],Wedding,2553603521496744282,2018-08-25T07:14:21,2018-08-25T07:14:21,Melissa-Campean,2.2575249295933445e+18,Kara-Kellar-1,2200979713818624964
['Wedding'],Wedding,2553660915580928453,2018-08-25T09:08:23,2018-08-25T09:08:23,meds123,1.9214476226068488e+18,Ziyad-Salah,2141699249799168407
['Wedding'],Wedding,2553697837057573471,2018-08-25T10:21:44,2018-08-25T10:21:44,Stephanie-Seikaly,1.6972451875389448e+18,Matthew-Klinger-4,2396710164758529018
['Wedding'],Wedding,2553723347997294672,2018-08-25T11:12:26,2018-08-25T11:12:26,Connie-Brawley,2.069915196456961e+18,desiree-kitchens,1779138989916160415
['Wedding'],Wedding,2553775308327092541,2018-08-25T12:55:40,2018-08-25T12:55:40,Thomas-Gallo-9,2.2841604461035528e+18,April-Kaminski,1693870349877248385
['Wedding'],Wedding,2553854882788410208,2018-08-25T15:33:46,2018-08-25T15:33:46,Syelbi-Hajiyeva,2.361875715063808e+18,Saida-Hajieva,1943707582464000977
['Wedding'],Wedding,2553964386813215590,2018-08-25T19:11:20,2018-08-25T19:11:20,dalejohnson80,1.6386053279580168e+18,Lisa-Chaisson,1727622090326016605
['Wedding'],Wedding,2554011049477013681,2018-08-25T20:44:02,2018-08-25T20:44:02,Sandy-Stayton,2.1611728076800008e+18,Chelsea_smith83,2154052137779200788
['Wedding'],Wedding,2554224225841840137,2018-08-26T03:47:35,2018-08-26T03:47:35,Shawna-Renee-1,1.8349957610209285e+18,Tamara-Rosr,2186696120598528994
['Wedding'],Wedding,2554571931210744432,2018-08-26T15:18:25,2018-08-26T15:18:25,Kelly-Hernon,1.670525751394305e+18,Erin-Hernon,1856275646251008728
['Wedding'],Wedding,2554646664178565126,2018-08-26T17:46:53,2018-08-26T17:46:53,Corey-Ford,1.6271558930595843e+18,charles-utterback,1266946825781248402
['Wedding'],Wedding,2554683702407856661,2018-08-26T19:00:29,2018-08-26T19:00:29,Alex-Beckett-2,2.013937092526081e+18,Brooke-Beckett-2,2313638845087744795
['Wedding'],Wedding,2554693829806523087,2018-08-26T19:20:36,2018-08-26T19:20:36,Austin-brown-50,1.7371766225633285e+18,Marissa-Bandiera,1773219526737920302
